Date,Region,SalesPerson,Product,UnitsSold,UnitPrice,Revenue
2023-01-01,North,Bob,D,,,
2023-01-02,,Diana,A,,24.16,
2023-01-03,North,Charlie,A,,,
2023-01-04,North,Alice,B,,,
2023-01-05,West,Charlie,D,,16.2,
2023-01-06,West,,D,81.0,21.52,1743.12
2023-01-07,,Bob,A,31.0,,
2023-01-08,,Bob,D,97.0,,
2023-01-09,East,Alice,A,,40.1,
2023-01-10,East,Alice,D,19.0,26.71,507.49
2023-01-11,West,Diana,A,78.0,,
2023-01-12,,,C,59.0,,
2023-01-13,South,Bob,D,24.0,,
2023-01-14,West,Alice,B,,23.73,
2023-01-15,North,Alice,A,,,
2023-01-16,West,Alice,D,,49.06,
2023-01-17,South,Charlie,C,,,
2023-01-18,East,Bob,B,51.0,,
2023-01-19,North,Charlie,A,52.0,25.33,1317.1599999999999
2023-01-20,West,,B,9.0,,
